"PRODUCT_ID","LANGUAGE_ID","TRANSLATED_NAME","TRANSLATED_DESCRIPTION"
"1726","US","LCD Monitor 11/PM","Liquid Cristal Display 11 inch passive monitor."
"2359","US","LCD Monitor 9/PM","Liquid Cristal Display 9 inch passive monitor."
"3060","US","Monitor 17/HR","CRT Monitor 17 inch (16 viewable) high resolution. Exceptional image performance and the benefit of additional screen space."
"2243","US","Monitor 17/HR/F","Monitor 17 inch (16 viewable) high resolution, flat screen."
"3057","US","Monitor 17/SD","CRT Monitor 17 inch (16 viewable) short depth."
"3061","US","Monitor 19/SD","CRT Monitor 19 inch (18 viewable) short depth. High-contrast black screen coating: produces superior contrast and grayscale performance. "
"2245","US","Monitor 19/SD/M","Monitor 19 (18 Viewable) short depth, Monochrome."
"3065","US","Monitor 21/D","CRT Monitor 21 inch (20 viewable). Digital OptiScan technology: supports resolutions up to 1600 x 1200 at 75Hz."
"3331","US","Monitor 21/HR","21 inch monitor (20 inch viewable) high resolution."
"2252","US","Monitor 21/HR/M","Monitor 21 inch (20 viewable) high resolution, monochrome."
"3064","US","Monitor 21/SD","Monitor 21 inch (20 viewable) short depth."
"3155","US","Monitor Hinge - HD","Monitor Hinge, heavy duty, maximum monitor weight 30 kg"
"3234","US","Monitor Hinge - STD","Standard Monitor Hinge, maximum monitor weight 10 kg"
"3350","US","Plasma Monitor 10/LE/VGA","10 inch low energy plasma monitor, VGA resolution"
"2236","US","Plasma Monitor 10/TFT/XGA","10 inch TFT XGA flatscreen monitor for laptop computers"
"3054","US","Plasma Monitor 10/XGA","10 inch standard plasma monitor, XGA resolution."
"1782","US","Compact 400/DQ","400 characters per second high-speed draft printer."
"2430","US","Compact 400/LQ","400 characters per second high-speed letter-quality printer."
"1792","US","Industrial 600/DQ","Wide carriage color capability 600 characters per second high-speed draft printer."
"1791","US","Industrial 700/HD","700 characters per second dot-matrix printer with harder body and dust protection for industrial uses."
"2302","US","Inkjet B/6","Inkjet Printer, black and white, 6 pages per minute, resolution 600x300 dpi."
"2453","US","Inkjet C/4","Inkjet Printer, color (with two separate ink cartridges), 6 pages per minute black and white, 4 pages per minute color, resolution 600x300 dpi."
"1797","US","Inkjet C/8/HQ","Inkjet printer, color, 8 pages per minute, high resolution (photo quality)."
"2459","US","LaserPro 1200/8/BW","Professional black and white laserprinter, resolution 1200 dpi, 8 pages per second."
"3127","US","LaserPro 600/6/BW","Standard black and white laserprinter, resolution 600 dpi, 6 pages per second."
"2254","US","HD 10GB /I","10GB capacity hard disk drive (internal)."
"3353","US","HD 10GB /R","10GB Removable hard disk drive for 10GB Removable HD drive."
"3069","US","HD 10GB /S","10GB hard disk drive for Standard Mount."
"2253","US","HD 10GB @5400 /SE","10GB capacity hard disk drive (external) SCSI interface, 5400 RPM."
"3354","US","HD 12GB /I","12GB capacity harddisk drive (internal)."
"3072","US","HD 12GB /N","12GB hard disk drive for Narrow Mount."
"3334","US","HD 12GB /R","12GB Removable hard disk drive."
"3071","US","HD 12GB /S","12GB hard disk drive for Standard Mount."
"2255","US","HD 12GB @7200 /SE","12GB capacity hard disk drive (external) SCSI, 7200 RPM."
"1743","US","HD 18.2GB @10000 /E","External hard drive disk - 18.2 GB, rated up to 10,000 RPM."
"2382","US","HD 18.2GB@10000 /I","18.2 GB SCSI hard disk @ 10000 RPM (internal)."
"3399","US","HD 18GB /SE","18GB SCSI external hard disk drive."
"3073","US","HD 6GB /I","6GB capacity hard disk drive (internal)."
"1768","US","HD 8.2GB @5400","Hard drive disk - 8.2 GB, rated up to 5,400 RPM."
"2410","US","HD 8.4GB @5400","8.4 GB hard disk @ 5400 RPM."
"2257","US","HD 8GB /I","8GB capacity hard disk drive (internal)."
"3400","US","HD 8GB /SE","8GB capacity SCSI hard disk drive (external)."
"3355","US","HD 8GB /SI","8GB SCSI hard disk drive, internal."
"1772","US","HD 9.1GB @10000","Hard disk drive - 9.1 GB, rated up to 10,000 RPM."
"2414","US","HD 9.1GB @10000 /I","9.1 GB SCSI hard disk @ 10000 RPM (internal)."
"2415","US","HD 9.1GB @7200","9.1 GB hard disk @ 7200 RPM."
"2395","US","32MB Cache /M","32MB Mirrored cache memory (100-MHz Registered SDRAM)"
"1755","US","32MB Cache /NM","32MB Non-Mirrored cache memory"
"2406","US","64MB Cache /M","64MB Mirrored cache memory"
"2404","US","64MB Cache /NM","64 MB Non-mirrored cache memory. FPM memory chips are implemented on 5 volt SIMMs, but are also available on 3.3 volt DIMMs."
"1770","US","8MB Cache /NM","8MB Non-Mirrored Cache Memory (100-MHz Registered SDRAM)"
